codSaco;pesoFardo;qntdFardo;;;;;;;;;;
205.0040;7.860;100;;;;;;;;;;.
205.0039;9.596;100;;;;;;;;;;
205.0075;6.052;250;;;;;;;;;;
2.050.038;6.500;100;;;;;;;;;;
205.0102;4.674;100;;;;;;;;;;
205.0030;2.620;500;;;;;;;;;;
205.0101;3.916;100;;;;;;;;;;
205.0096;5.642;250;;;;;;;;;;
205.0077;4.996;250;;;;;;;;;;
205.0079;3.782;250;;;;;;;;;;
205.0058;6.144;100;;;;;;;;;;
205.0085;3.186;1000;;;;;;;;;;
205.0094;2.624;100;;;;;;;;;;
205.0044;14.590;100;;;;;;;;;;
205.0033;6.062;100;;;;;;;;;;
205.0317;2.972;500;;;;;;;;;;
205.0243;9.002;1000;;;;;;;;;;
205.0069;4.784;100;;;;;;;;;;
205.0119;3.538;500;;;;;;;;;;
205.0113;8.168;500;;;;;;;;;;
205.0114;6.654;500;;;;;;;;;;
205.0316;6.992;100;;;;;;;;;;
205.0133;12.530;250;;;;;;;;;;
205.0116;5.500;250;;;;;;;;;;
205.0042;5.428;100;;;;;;;;;;
205.0107;8.960;100;;;;;;;;;;
205.0209;5.390;1000;;;;;;;;;;
205.0048;4.578;500;;;;;;;;;;
205.0315;4.442;100;;;;;;;;;;
205.0241;3.200;1000;;;;;;;;;;
205.0120;10.510;500;;;;;;;;;;
205.0225;5.610;1000;;;;;;;;;;
205.0309;3.734;500;;;;;;;;;;
205.0307;2.198;500;;;;;;;;;;
205.0308;1.600;500;;;;;;;;;;
205.0310;7.136;500;;;;;;;;;;
205.0027;3.968;100;;;;;;;;;;
205.0015;2.650;250;;;;;;;;;;
205.0002;12.210;250;;;;;;;;;;
205.0003;2.208;1000;;;;;;;;;;
205.0004;5.480;250;;;;;;;;;;
205.0016;5.894;250;;;;;;;;;;
205.0005;2.108;250;;;;;;;;;;
205.0282;7.136;500;;;;;;;;;;
205.0281;7.136;500;;;;;;;;;;
205.0010;7.136;25;;;;;;;;;;
205.0215;7.136;500;;;;;;;;;;
205.0012;7.136;1000;;;;;;;;;;
205.0210;7.136;1000;;;;;;;;;;
205.0115;7.136;500;;;;;;;;;;
205.0068;7.136;500;;;;;;;;;;
205.0028;7.136;250;;;;;;;;;;
205.0127;7.136;1000;;;;;;;;;;
205.0043;7.136;100;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
